Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
12089083,6/26,2212,Tue,EDMUNDS ST,MASSACHUSETTS AVE,NW,At Intersect,-77.067778,38.924693,Other,1,2,2
12089188,6/27,0825,Wed,D ST,THIRD ST,NW,Within 100ft,-77.015168,38.885072,Side Swiped,0,2,1
12089194,6/27,0900,Wed,SEVENTH ST,K ST,NW,Within 100ft,-77.021917,38.902104,Right Angle,1,2,1
12089200,6/27,0910,Wed,THIRTY EIGHTH ST,ALTON PL,NW,At Intersect,-77.074598,38.947092,Side Swiped,1,2,1
12089372,6/27,1616,Wed,FOURTEENTH ST,I ST,NW,At Intersect,-77.081958,38.840373,19,1,2,1
12089488,6/27,1940,Wed,ELEVENTH ST,PENNSYLVANIA AVE,NW,Within 100ft,-77.02705,38.894823,Side Swiped,1,2,1
12089719,6/28,0810,Thu,TWENTY SECOND ST,P ST,NW,At Intersect,-77.048798,38.909632,19,1,2,1
12089763,6/28,1056,Thu,ELEVENTH ST,FLORIDA AVE,NW,Not at Inter,-77.027041,38.920761,19,1,1,1
12089998,6/28,1804,Thu,E ST,FOURTH ST,SW,Not at Inter,-77.017551,38.873421,Left Turn Hit Veh.,0,2,1
12090019,6/28,1900,Thu,FOURTH ST,VIRGINIA AVE,SW,Not at Inter,-77.017568,38.88435,Straight Hit Ped.,1,2,1
12090500,6/29,1600,Fri,SOUTH CAPITOL ST,I ST,BN,Not at Inter,-77.00911,38.879302,Non-Collision Accident,1,2,1
12090635,6/29,2127,Fri,SIXTH ST,BRYANT ST,NW,At Intersect,-77.020717,38.920101,Head On,1,2,1
12090893,6/30,0935,Sat,K ST,TWENTY NINTH ST,NW,At Intersect,-77.05815,38.902582,19,1,1,1
12090996,6/30,1408,Sat,,,SE,At Intersect,,,VENTEENTH ST E ST,0,2,1
12091607,7/1,1716,Sun,WISCONSIN AVE,ALBEMARLE ST,NW,Within 100ft,-77.079677,38.947911,Side Swiped,1,2,1
12092376,7/3,0900,Tue,FOURTEENTH ST,V ST,NW,At Intersect,-77.031948,38.918112,19,1,3,1
12092707,7/3,1700,Tue,SIXTEENTH ST,OAK ST,NW,Not at Inter,-77.03646,38.934971,Non-Collision Accident,1,1,1
12093262,7/4,2220,Wed,FOURTEENTH ST,INDEPENDENCE AVE,SW,Within 100ft,-77.031948,38.887574,19,1,1,1
12093627,7/5,1402,Thu,GEORGIA AVE,PARK RD,NW,Not at Inter,-77.081958,38.840373,Straight Hit Ped.,1,1,1
12093773,7/12,1120,Thu,MOUNT PLEASANT ST,IRVING ST,NW,Within 100ft,-77.037337,38.928732,Side Swiped,0,1,1
12093792,7/5,1857,Thu,U ST,THIRTEENTH ST,NW,Not at Inter,-77.029618,38.917001,19,1,2,1
12093796,7/5,1906,Thu,FOURTH ST,M ST,SW,Not at Inter,-77.017591,38.876521,"",1,3,2
12094022,7/6,0919,Fri,MONROE ST,CLINTON ST,NE,Not at Inter,-76.96394,38.932872,Other,1,1,1
12094180,7/6,1510,Fri,JAY ST,,NE,Not at Inter,,,Other,1,2,1
12094476,7/7,0037,Sat,SEVENTH ST,Q ST,NW,At Intersect,-77.021917,38.911124,19,0,2,1
12094718,7/7,1345,Sat,N ST,THIRTY SEVENTH ST,NW,Within 100ft,-77.07156,38.906683,19,1,2,1
12096237,7/10,1602,Tue,P ST,TWENTY FIRST ST,NW,Not at Inter,-77.046637,38.909641,19,1,1,1
12096581,7/11,1001,Wed,TWELFTH ST,E ST,NW,Within 100ft,-77.081958,38.840373,Side Swiped,1,2,1
12096750,7/11,1646,Wed,BRENTWOOD PKWY MOUNT OLIVET RD,,NE,At Intersect,,,Right Turn Hit Ped.,0,1,1
12097771,7/13,1110,Fri,THIRTY EIGHTH ST,YUMA ST,NW,Not at Inter,-77.074611,38.946281,Unknown,1,1,1
12097782,7/13,1122,Fri,SIXTEENTH ST,CORCORAN ST,NW,At Intersect,-77.036518,38.911882,19,1,2,1
12097813,7/13,1229,Fri,K ST,,NW,Within 100ft,,,19,0,1,1
12098534,7/13,1715,Fri,EIGHTEENTH ST,K ST,NW,At Intersect,-77.041699,38.902653,Right Angle,1,2,1
12098861,7/15,0444,Sun,TWELFTH ST,U ST,NW,Within 100ft,-77.028077,38.917001,Rear End,1,2,1
12099145,7/15,2028,Sun,FIRST ST,K ST,NE,At Intersect,-77.01217,38.902524,Left Turn Hit Ped.,1,2,1
12099281,7/16,0821,Mon,ELEVENTH ST,H ST,NW,At Intersect,-77.081958,38.840373,Right Angle,1,2,1
12100326,7/18,0625,Wed,WATER ST,NINTH ST,SW,"",-77.025199,38.879993,"",,,
12100670,7/18,1853,Wed,FOURTEENTH ST,P ST,NW,Within 100ft,-77.031948,38.909663,19,1,2,1
12100808,7/19,0057,Thu,SIXTEENTH ST,ARKANSAS AVE,NW,At Intersect,-77.036438,38.938992,19,0,2,1
12100900,7/19,0815,Thu,FOURTEENTH ST,V ST,NW,At Intersect,-77.031948,38.918112,19,1,2,1
12101241,7/19,1825,Thu,MASSACHUSETTS AVE,FOURTH ST,NW,N/A,-77.0162,38.900182,Right Angle,0,2,1
12101487,7/20,0943,Fri,NINTEENTH ST,F ST,NW,Not at Inter,-77.081958,38.840373,19,0,1,1
12101601,7/19,0800,Thu,FOURTEENTH ST,COLUMBIA RD,NW,Within 100ft,-77.032519,38.92754,Rear End,0,2,1
12102763,7/22,2135,Sun,CONNECTICUT AVE,BRANDYWINE ST,NW,At Intersect,-77.066719,38.949691,Left Turn Hit Ped.,1,1,1
12102815,7/23,0037,Mon,PORTER ST,,NW,Not at Inter,,,Side Swiped,1,2,1
12102923,7/23,0900,Mon,CORREGIDOR ST,RHODE ISLAND AVE,NW,At Intersect,-77.035397,38.907644,Left Turn Hit Veh.,0,2,1
12104075,7/25,1045,Wed,K ST,SEVENTEENTH ST,NW,Within 100ft,-77.03944,38.9024,19,1,2,1
12104402,7/26,0022,Thu,FIFTEENTH ST,BLADENSBURG RD,NE,At Intersect,-76.983359,38.900151,Left Turn Hit Ped.,1,2,1
12105075,7/27,0937,Fri,COLUMBIA RD,SIXTEENTH ST,NW,Not at Inter,-77.036447,38.926553,Rear End,1,2,1
12105219,7/25,1145,Wed,SHERIDAN CIR,MASSACHUSETTS AVE,NW,At Intersect,-77.051047,38.912231,19,1,1,1
12105475,7/27,2329,Fri,FOURTEENTH ST,MONROE ST,NW,At Intersect,-77.032718,38.931154,Other,1,1,1
12106791,7/30,1825,Mon,R ST,RHODE ISLAND AVE,NW,Within 100ft,-77.021257,38.912612,Right Turn Hit Ped.,0,1,1
12106803,7/30,1852,Mon,MONTELLO AVE,MORSE ST,NE,Not at Inter,-76.98955,38.90364,19,1,2,1
12106895,7/30,2147,Mon,,,SE,At Intersect,,,COND ST R ST,1,2,1
12107025,7/31,0645,Tue,H ST,NORTH CAPITOL ST,BN,Within 100ft,-77.009097,38.900213,Right Turn Hit Veh.,1,2,1
12107358,7/31,1940,Tue,MASSACHUSETTS AVE,SECOND ST,NE,At Intersect,-77.013658,38.899292,Other,1,1,1
12107359,7/31,1944,Tue,GALLATIN ST,SEVENTH ST,NW,At Intersect,-77.022099,38.952012,19,1,1,1
12107618,8/1,0951,Wed,FOURTEENTH ST,RIGGS ST,NW,Within 100ft,-77.03193,38.913352,Right Angle,1,2,1
12107818,8/1,1721,Wed,Q ST,SIXTEENTH ST,NW,Within 100ft,-77.036518,38.911133,19,1,2,1
12107852,8/1,1812,Wed,TEXAS AVE,EAST CAPITOL ST,BN,At Intersect,-76.938278,38.889673,Right Turn Hit Ped.,1,2,1
12108131,8/2,0823,Thu,VISTA ST,SOUTH DAKOTA AVE,NE,At Intersect,-76.967279,38.927222,Straight Hit Ped.,1,2,1
12108394,8/2,1740,Thu,GEORGIA AVE,KENNEDY ST,NW,At Intersect,-77.028028,38.956201,Right Angle,1,2,1
12108481,8/2,1930,Thu,FORTIETH ST,ALBEMARLE ST,NW,Within 100ft,-77.081958,38.840373,Back Hit Moving Veh.,1,2,1
12108932,8/3,1845,Fri,TWELFTH ST,U ST,NW,Within 100ft,-77.028077,38.917001,Side Swiped,0,3,1
12109150,8/4,0229,Sat,FIRST ST,N ST,NE,Within 100ft,-77.081958,38.840373,Side Swiped,1,1,1
12109346,8/4,1510,Sat,MOUNT OLIVET RD,MONTELLO AVE,NE,Within 100ft,-76.984958,38.910194,19,1,2,1
12109452,8/4,1818,Sat,SECOND ST,G ST,NE,Not at Inter,-77.003491,38.898902,Head On,1,1,1
12109915,8/5,1457,Sun,NORTH CAPITOL ST,H ST,BN,At Intersect,-77.009097,38.900213,Left Turn Hit Ped.,1,2,1
